fixture	rounds	seed	outcome	detail	capture
depth-2	2	4	pass	13/13	20260829-100413-fixture-depth-2
depth-2	2	5	pass	13/13	20260829-100513-fixture-depth-2
depth-2	2	6	pass	13/13	20260829-100633-fixture-depth-2
depth-2	2	7	pass	13/13	20260829-100756-fixture-depth-2
depth-2	2	8	pass	13/13	20260829-100904-fixture-depth-2
depth-2	2	9	pass	13/13	20260829-101029-fixture-depth-2
depth-2	2	10	pass	13/13	20260829-101206-fixture-depth-2
depth-2	2	11	pass	13/13	20260829-101323-fixture-depth-2
depth-2	2	12	pass	13/13	20260829-101444-fixture-depth-2
depth-2	2	13	pass	13/13	20260829-101632-fixture-depth-2
